Date,Open,High,Low,Sentiment,Close
2/14/2022,42157.39844,42775.77734,41681.95703,46,42586.91797
2/15/2022,42586.46484,44667.21875,42491.03516,46,44575.20313
2/16/2022,44578.27734,44578.27734,43456.69141,51,43961.85938
2/17/2022,43937.07031,44132.97266,40249.37109,52,40538.01172
2/18/2022,40552.13281,40929.15234,39637.61719,30,40030.97656
2/19/2022,40026.02344,40418.87891,39713.05859,25,40122.15625
2/20/2022,40118.10156,40119.89063,38112.8125,27,38431.37891
2/21/2022,38423.21094,39394.4375,36950.47656,25,37075.28125
2/22/2022,37068.76953,38359.85547,36488.93359,20,38286.02734
2/23/2022,38285.28125,39122.39453,37201.81641,25,37296.57031
2/24/2022,37278.56641,38968.83984,34459.21875,23,38332.60938
2/25/2022,38333.74609,39630.32422,38111.34375,27,39214.21875
2/26/2022,39213.08203,40005.34766,38702.53516,26,39105.14844
2/27/2022,39098.69922,39778.94141,37268.97656,26,37709.78516
2/28/2022,37706,43760.45703,37518.21484,20,43193.23438
3/1/2022,43194.50391,44793.60156,42952.58594,51,44354.63672
3/2/2022,44357.61719,45077.57813,43432.85156,52,43924.11719
3/3/2022,43925.19531,44021.57813,41914.75,39,42451.78906
3/4/2022,42458.14063,42479.61328,38805.84766,33,39137.60547
3/5/2022,39148.44922,39566.33594,38777.03516,22,39400.58594
3/6/2022,39404.19922,39640.17578,38211.64844,22,38419.98438
3/7/2022,38429.30469,39430.22656,37260.20313,23,38062.03906
3/8/2022,38059.90234,39304.44141,37957.38672,21,38737.26953
3/9/2022,38742.81641,42465.67188,38706.09375,22,41982.92578
3/10/2022,41974.07031,42004.72656,38832.94141,28,39437.46094
3/11/2022,39439.96875,40081.67969,38347.43359,22,38794.97266
3/12/2022,38794.46484,39308.59766,38772.53516,22,38904.01172
3/13/2022,38884.72656,39209.35156,37728.14453,21,37849.66406
3/14/2022,37846.31641,39742.5,37680.73438,23,39666.75391
3/15/2022,39664.25,39794.62891,38310.21094,21,39338.78516
3/16/2022,39335.57031,41465.45313,39022.34766,24,41143.92969
3/17/2022,41140.84375,41287.53516,40662.87109,27,40951.37891
3/18/2022,40944.83984,42195.74609,40302.39844,25,41801.15625
3/19/2022,41794.64844,42316.55469,41602.66797,28,42190.65234
3/20/2022,42191.40625,42241.16406,41004.75781,31,41247.82422
3/21/2022,41246.13281,41454.41016,40668.04297,30,41077.99609
3/22/2022,41074.10547,43124.70703,40948.28125,26,42358.80859
3/23/2022,42364.37891,42893.50781,41877.50781,31,42892.95703
3/24/2022,42886.65234,44131.85547,42726.16406,40,43960.93359
3/25/2022,43964.54688,44999.49219,43706.28516,47,44348.73047
3/26/2022,44349.85938,44735.99609,44166.27344,51,44500.82813
3/27/2022,44505.35547,46827.54688,44437.29297,49,46820.49219
3/28/2022,46821.85156,48086.83594,46690.20313,60,47128.00391
3/29/2022,47100.4375,48022.28906,47100.4375,56,47465.73047
3/30/2022,47456.89844,47655.14844,46746.21094,55,47062.66406
3/31/2022,47062.14844,47512.02734,45390.53906,52,45538.67578
4/1/2022,45554.16406,46616.24219,44403.14063,50,46281.64453
4/2/2022,46285.5,47028.28125,45782.51172,52,45868.94922
4/3/2022,45859.12891,47313.47656,45634.10547,48,46453.56641
4/4/2022,46445.27344,46791.08984,45235.81641,52,46622.67578
4/5/2022,46624.50781,47106.14063,45544.80859,53,45555.99219
4/6/2022,45544.35547,45544.35547,43193.95313,48,43206.73828
4/7/2022,43207.5,43860.69922,42899.90625,34,43503.84766
4/8/2022,43505.13672,43903.01953,42183.28906,37,42287.66406
4/9/2022,42282.07813,42786.81641,42183.25391,30,42782.13672
4/10/2022,42781.08984,43376.37891,42021.20703,34,42207.67188
4/11/2022,42201.03906,42424.58984,39373.05859,32,39521.90234
4/12/2022,39533.71484,40617.58594,39388.32813,20,40127.18359
4/13/2022,40123.57031,41430.05469,39712.74609,25,41166.73047
4/14/2022,41160.21875,41451.48047,39695.74609,28,39935.51563
4/15/2022,39939.40234,40617.72266,39866.83203,22,40553.46484
4/16/2022,40552.31641,40633.67969,40078.42578,28,40424.48438
4/17/2022,40413.75781,40492.52734,40200.23438,28,40419.01953
